Position	Strand	Type	Locus	Product	EGDe_37C_TSS	sigB	prfA	EGDe_30C	EGDe_minusO2	EGDe_Stat	EGDe_Complete_TSS
544214	+	Intergenic	NA	NA	0	3	0	0	0	0	3
544238	+	Intergenic	NA	NA	2	6	5	13	2	4	32
544357	+	Intergenic	NA	NA	2	2	0	9	7	2	22
544698	+	Upstream	lmo0510	hypothetical protein	0	0	0	0	10	0	10
544883	+	Upstream	lmo0510	hypothetical protein	11	7	4	0	2	0	24
545583	+	Upstream	lmo0511	hypothetical protein	0	2	0	0	0	0	2
547162	-	Upstream	lmo0513	weakly transcription regulator	55	45	9	10	27	8	154
549409	+	Upstream	lmo0515	hypothetical protein	99	0	50	36	19	40	244
552417	-	Upstream	lmo0517	phosphoglycerate mutase	5	8	0	3	3	0	19
552949	-	Upstream	lmo0518	hypothetical protein	2	0	0	0	0	0	2
553040	+	Upstream	lmo0519	multidrug resistance protein	4	6	4	11	8	0	33
554571	+	Upstream	lmo0520	transcription regulator	2	5	0	0	0	0	7
557042	-	Upstream	lmo0521	6-phospho-beta-glucosidase	0	3	4	3	2	0	12
557162	+	Upstream	lmo0522	transcription regulator	0	0	0	6	9	0	15
558025	+	Upstream	lmo0523	YybC protein	0	0	0	0	4	0	4
560253	-	Upstream	lmo0524	putative sulfate transporter	3	0	0	0	0	0	3
560402	+	Upstream	lmo0525	hypothetical protein	16	39	17	55	113	68	308
562733	+	Upstream	lmo0527	transmembrane protein	5	6	4	4	8	0	27
569978	+	Upstream	lmo0532	hypothetical protein	4	6	0	6	18	2	36
570890	+	Upstream	lmo0533	ACT domain-containing protein	63	81	22	29	46	19	260
573598	-	Upstream	lmo0535	transcription regulator LacI family	11	19	8	4	7	6	55
573697	+	Upstream	lmo0536	6-phospho-beta-glucosidase	7	2	3	21	30	7	70
575152	+	Upstream	lmo0537	allantoate amidohydrolase	4	4	0	4	7	0	19
578658	-	Upstream	lmo0539	tagatose 1-6-diphosphate aldolase	0	0	3	2	0	0	5
578699	-	Upstream	lmo0539	tagatose 1-6-diphosphate aldolase	93	3	51	45	121	142	455
578846	+	Upstream	lmo0540	penicillin-binding protein	0	4	2	0	2	0	8
578860	+	Upstream	lmo0540	penicillin-binding protein	5	5	5	3	4	0	22
578867	+	Upstream	lmo0540	penicillin-binding protein	0	6	2	2	5	2	17
578882	+	Upstream	lmo0540	penicillin-binding protein	0	2	0	0	2	0	4
581083	-	Upstream	lmo0541	ABC transporter binding protein	0	0	0	40	3	0	43
586023	-	Upstream	lmo0547	DeoR transcriptional regulator	0	5	0	0	0	0	5
592069	-	Upstream	lmo0553	hypothetical protein	203	200	91	103	334	154	1085
592218	+	Upstream	lmo0554	NADH-dependent butanol dehydrogenase	77	0	9	8	10	39	143
593447	+	Upstream	lmo0555	di-tripeptide transporter	3	0	0	0	6	0	9
593925	+	Middle	lmo0555	di-tripeptide transporter	0	0	0	0	0	9	9
595106	+	Upstream	lmo0556	phosphoglycerate mutase	21	18	23	14	51	24	151
597649	-	Upstream	lmo0558	hypothetical protein	7	4	4	0	3	3	21
597806	+	Intergenic	NA	NA	427	170	259	3479	31289	466	36090
597815	+	Upstream	lmo0559	hypothetical protein	46	20	16	16	137	8	243
597823	+	Upstream	lmo0559	hypothetical protein	2	7	0	7	27	6	49
600476	-	Upstream	lmo0560	glutamate dehydrogenase	6	6	0	10	18	17	57
600750	-	Intergenic	NA	NA	518	1246	410	4144	14059	2452	22829
607326	+	Upstream	lmo0570	histidinol-phosphatase	27	33	11	20	137	19	247
607338	+	Upstream	lmo0570	histidinol-phosphatase	0	0	0	0	2	5	7
608504	-	Upstream	lmo0571	methyltransferase	6	7	5	4	16	8	46
611100	-	Middle	NA	NA	10	10	2	26	304	17	369
611216	+	Upstream	lmo0574	beta-glucosidase	24	24	6	11	14	0	79
612653	+	Upstream	lmo0575	transcription regulator GntR family	14	29	4	28	40	15	130
616604	-	Upstream	lmo0578	hypothetical protein	170	186	150	192	246	269	1213
616703	+	Upstream	lmo0579	hypothetical protein	177	0	94	50	38	76	435
616713	+	Upstream	lmo0579	hypothetical protein	6	16	13	7	4	3	49
616854	+	Middle	lmo0579	hypothetical protein	4	0	5	0	0	0	9
616857	+	Middle	lmo0579	hypothetical protein	3	0	3	0	2	3	11
620418	-	Upstream	lmo0582	invasion associated secreted endopeptidase	0	3	0	0	0	12	15
620426	-	Upstream	lmo0582	invasion associated secreted endopeptidase	3	2	0	0	4	2	11
620449	-	Upstream	lmo0582	invasion associated secreted endopeptidase	9	0	0	0	0	0	9
620456	-	Upstream	lmo0582	invasion associated secreted endopeptidase	126	140	31	12	104	32	445
620782	+	Upstream	lmo0583	preprotein translocase subunit SecA	13	10	13	13	19	24	92
620788	+	Upstream	lmo0583	preprotein translocase subunit SecA	28	89	29	18	23	15	202
623204	+	Upstream	lmo0584	hypothetical protein	15	0	0	12	19	20	66
623214	+	Upstream	lmo0584	hypothetical protein	0	0	0	0	3	2	5
629058	+	Upstream	lmo0588	DNA photolyase	2	4	5	5	11	8	35
630494	+	Upstream	lmo0589	hypothetical protein	15	0	5	2	0	2	24
630605	+	Upstream	lmo0589	hypothetical protein	12	4	0	0	2	0	18
633652	+	Upstream	lmo0592	hypothetical protein	20	45	26	3	9	7	110
634434	+	Upstream	lmo0593	transport proteins formate	2	0	0	4	36	0	42
637940	-	Upstream	NA	NA	28	32	5	10	4	2	81
638100	+	Upstream	lmo0596	hypothetical protein	123	0	19	63	147	128	480
638116	+	Upstream	lmo0596	hypothetical protein	9	0	4	0	2	61	76
638122	+	Upstream	lmo0596	hypothetical protein	0	0	0	0	3	41	44
638138	+	Upstream	lmo0596	hypothetical protein	0	0	0	0	3	8	11
639512	-	Upstream	lmo0597	transcription regulator CRP-FNR family	0	0	0	20	4	0	24
640138	-	Intergenic	NA	NA	3	5	0	3	0	0	11
640232	+	Upstream	lmo0599	hypothetical protein	14	16	9	12	6	5	62
642372	+	Upstream	lmo0602	weakly transcription regulator	20	0	4	5	6	2	37
643366	-	Upstream	lmo0603	hypothetical protein	4	2	0	2	0	2	10
643771	-	Upstream	lmo0604	YvlA protein	3	3	0	3	6	0	15
645261	-	Upstream	lmo0605	hypothetical protein	4	5	6	4	9	0	28
645363	+	Upstream	lmo0606	MarR regulator family	5	8	2	6	35	10	66
649494	+	Upstream	lmo0609	phage shock P E. coli	21	25	13	31	42	45	177
651656	-	Upstream	lmo0610	internalin proteins - putative peptidoglycan bound protein LPXTG motif	0	0	0	0	2	3	5
652450	-	Upstream	lmo0611	azoreductase	9	18	4	6	2	0	39
652568	+	Upstream	lmo0612	transcription regulator MarR family	4	10	2	0	4	2	22
654059	+	Upstream	lmo0614	hypothetical protein	9	14	8	3	12	8	54
654881	-	Upstream	lmo0615	hypothetical protein	0	3	0	0	0	0	3
657269	-	Upstream	lmo0617	hypothetical protein	9	4	2	7	0	0	22
658492	-	Upstream	lmo0618	protein kinase	9	8	5	12	47	48	129
658549	+	Upstream	lmo0619	hypothetical protein	4	5	0	0	0	0	9
659058	+	Upstream	lmo0620	hypothetical protein	6	13	3	5	15	0	42
660381	+	Upstream	lmo0622	hypothetical protein	13	14	6	13	27	47	120
662186	-	Upstream	lmo0625	hypothetical protein	6	8	0	4	23	4	45
663961	-	Upstream	lmo0626	hypothetical protein	2	0	0	2	13	7	24
663985	-	Upstream	lmo0626	hypothetical protein	27	22	12	18	25	11	115
669062	+	Upstream	lmo0628	hypothetical protein	25	0	7	3	6	9	50
669389	+	Upstream	lmo0629	hypothetical protein	3	5	2	0	0	0	10
677616	-	Upstream	lmot11	tRNA-Ser	0	0	0	21	122	12	155
679724	+	Upstream	lmo0639	a transcription regulator surface protein PAg negative regulator par	5	9	0	3	5	0	22
680335	+	Upstream	lmo0640	oxidoreductase	93	52	25	15	21	0	206
681412	+	Upstream	lmo0641	heavy metal-transporting ATPase	34	12	2	0	15	9	72
681448	+	Upstream	lmo0641	heavy metal-transporting ATPase	3	5	0	0	2	2	12
681517	+	Upstream	lmo0641	heavy metal-transporting ATPase	10	12	2	0	2	0	26
681523	+	Upstream	lmo0641	heavy metal-transporting ATPase	8	20	3	0	6	10	47
681540	+	Upstream	lmo0641	heavy metal-transporting ATPase	10	10	5	0	0	0	25
683465	+	Upstream	lmo0642	hypothetical protein	5	4	0	0	0	0	9
683502	+	Upstream	lmo0642	hypothetical protein	39	0	40	50	21	68	218
684361	+	Upstream	lmo0643	putative transaldolase	9	29	5	7	28	2	80
686954	-	Upstream	lmo0644	hypothetical protein	0	0	0	7	10	4	21
687113	+	Upstream	lmo0645	amino acid transporter	0	3	0	3	11	2	19
688593	+	Upstream	lmo0646	hypothetical protein	17	25	11	13	11	0	77
689860	-	Upstream	lmo0647	hypothetical protein	8	0	3	3	7	2	23
689972	+	Middle	lmo0648	membrane proteins	2	0	0	0	3	19	24
690595	+	Middle	lmo0648	membrane proteins	0	9	4	0	3	2	18
694299	+	Upstream	lmo0651	transcription regulator	3	2	0	0	0	0	5
696433	-	Upstream	lmo0653	hypothetical protein	16	6	3	4	0	0	29
696575	+	Upstream	lmo0654	hypothetical protein	931	2	320	976	333	1228	3790
696588	+	Upstream	lmo0654	hypothetical protein	2	0	0	3	0	4	9
698235	-	Upstream	lmo0656	hypothetical protein	0	2	0	2	11	22	37
698302	+	Upstream	lmo0657	hypothetical protein	2	3	2	4	16	7	34
700478	+	Upstream	lmo0660	transposases	4	2	0	0	3	0	9
702984	-	Upstream	lmo0663	hypothetical protein	3	0	0	6	11	5	25
703100	+	Upstream	lmo0664	acetyl transferase	70	90	50	108	146	65	529
704423	+	Upstream	lmo0667	ABC transporter ATP-binding protein	17	23	8	12	3	0	63
705287	+	Middle	lmo0667	ABC transporter ATP-binding protein	5	4	0	0	2	0	11
706268	+	Upstream	lmo0669	oxidoreductase	13	0	6	6	6	25	56
707578	+	Upstream	lmo0671	hypothetical protein	17	25	5	17	134	7	205
708618	+	Intergenic	NA	NA	5	0	0	4	6	4	19
708717	+	Intergenic	NA	NA	3	3	0	3	5	0	14
709104	+	Upstream	lmo0672	hypothetical protein	8	8	0	7	6	0	29
710795	-	Upstream	lmo0674	hypothetical protein	38	32	20	17	3	0	110
724848	+	Upstream	lmo0690	flagellin	14	31	8	1190	4	5	1252
725982	+	Upstream	lmo0691	chemotaxis response regulator CheY	5	3	0	27	0	0	35
737221	+	Upstream	lmo0703	hypothetical protein	5	0	2	6	5	0	18
749950	+	Upstream	lmo0719	hypothetical protein	12	7	9	3	12	5	48
751476	-	Upstream	lmo0721	putative fibronectin-binding protein	23	18	2	0	0	5	48
751557	+	Upstream	lmo0722	pyruvate oxidase	38	0	19	10	31	50	148
753463	+	Upstream	lmo0723	metyl-accepting chemotaxis protein	0	0	0	7	0	0	7
756315	-	Upstream	lmo0725	peptidoglycan binding protein	18	31	8	15	72	6	150
756425	+	Upstream	NA	NA	1106	1163	615	205	442	65	3596
756437	+	Upstream	NA	NA	6	6	3	4	0	2	21
756449	+	Upstream	NA	NA	9	8	7	0	0	0	24
756738	+	Upstream	lmo0727	glucosamine--fructose-6-phosphate aminotransferase	4	5	0	4	5	0	18
758636	+	Upstream	lmo0728	riboflavin kinase - FAD synthase	5	9	5	4	0	8	31
758637	+	Upstream	lmo0728	riboflavin kinase - FAD synthase	0	2	2	0	0	4	8
759447	+	Upstream	lmo0729	hypothetical protein	0	0	0	4	3	0	7
760425	+	Upstream	lmo0731	hypothetical protein	223	156	64	129	911	100	1583
777182	+	Upstream	lmo0748	hypothetical protein	10	9	5	0	4	0	28
781067	+	Upstream	lmo0755	hypothetical protein	2	7	0	0	4	2	15
787038	+	Intergenic	NA	NA	7	5	3	29	104	8	156
788610	+	Upstream	lmo0763	hypothetical protein	5	5	0	0	11	0	21
797219	-	Upstream	lmo0770	transcriptional regulator LacI family	8	14	2	10	7	5	46
797329	+	Upstream	lmo0771	hypothetical protein	0	0	0	4	25	14	43
798109	+	Upstream	lmo0772	transcription regulator	4	10	0	0	0	2	16
798122	+	Upstream	lmo0772	transcription regulator	6	0	2	0	2	0	10
799851	-	Upstream	lmo0773	alcohol dehydrogenase	7	5	0	3	27	2	44
799930	+	Upstream	lmo0774	hypothetical protein	7	8	2	5	4	14	40
799931	+	Upstream	lmo0774	hypothetical protein	88	96	43	98	93	136	554
799948	+	Upstream	lmo0774	hypothetical protein	3	5	0	0	0	0	8
799958	+	Upstream	lmo0774	hypothetical protein	6	5	3	0	0	0	14
799971	+	Upstream	lmo0774	hypothetical protein	17	18	6	0	5	0	46
802227	-	Upstream	lmo0776	transcription regulator repressor	4	2	3	0	4	0	13
802327	+	Upstream	lmo0777	hypothetical protein	47	62	27	20	42	6	204
803123	+	Upstream	lmo0778	hypothetical protein	11	28	16	12	9	0	76
803133	+	Upstream	lmo0778	hypothetical protein	2	3	0	0	2	0	7
804233	-	Upstream	lmo0779	hypothetical protein	0	0	0	2	2	3	7
804249	-	Upstream	lmo0779	hypothetical protein	121	117	22	37	45	18	360
807287	-	Middle	lmo0784	mannose-specific phosphotransferase system PTS component IIA	7	0	0	3	2	0	12
807724	-	Upstream	lmo0784	mannose-specific phosphotransferase system PTS component IIA	10	4	8	0	0	4	26
807886	-	Upstream	lmo0784	mannose-specific phosphotransferase system PTS component IIA	108	0	15	12	15	33	183
810955	+	Upstream	lmo0786	acyl-carrier protein phosphodiesterase and to NADPH dehydrogenase	39	35	7	15	39	0	135
811739	+	Upstream	lmo0787	amino acid transporter	12	12	5	15	14	4	62
813304	+	Upstream	lmo0788	hypothetical protein	3	3	0	0	2	0	8
813305	+	Upstream	lmo0788	hypothetical protein	291	166	65	184	303	84	1093
813314	+	Upstream	lmo0788	hypothetical protein	5	3	0	0	0	0	8
813324	+	Upstream	lmo0788	hypothetical protein	0	5	0	0	2	0	7
813353	+	Upstream	lmo0788	hypothetical protein	4	0	0	0	0	0	4
813366	+	Upstream	lmo0788	hypothetical protein	21	23	10	13	6	0	73
813378	+	Upstream	lmo0788	hypothetical protein	10	13	6	6	3	10	48
813410	+	Upstream	lmo0788	hypothetical protein	10	17	3	9	5	2	46
819325	-	Upstream	lmo0790	transcription regulator EbsC from Enterococcus faecalis	4	5	2	0	0	0	11
819360	+	Upstream	lmo0791	hypothetical protein	871	715	394	221	161	98	2460
819369	+	Upstream	lmo0791	hypothetical protein	8	5	0	2	3	5	23
819387	+	Upstream	lmo0791	hypothetical protein	2	3	0	0	0	0	5
820120	+	Upstream	lmo0792	conserved hypothetical protein	17	21	7	2	8	4	59
822573	-	Upstream	lmo0794	YwnB protein	192	0	46	9	18	69	334
823560	-	Upstream	lmo0795	hypothetical protein	12	11	0	10	20	0	53
824169	-	Upstream	lmo0796	hypothetical protein	3	2	3	0	0	4	12
824207	-	Upstream	lmo0796	hypothetical protein	183	0	58	28	93	137	499
824293	-	Upstream	lmo0796	hypothetical protein	28	21	0	2	3	0	54
824407	+	Upstream	lmo0797	hypothetical protein	124	150	57	11	19	7	368
826699	-	Upstream	NA	NA	0	8	3	10	9	11	41
826710	-	Upstream	NA	NA	2	0	0	12	11	3	28
827541	-	Upstream	lmo0799	hypothetical protein	38	47	15	32	50	31	213
827652	+	Upstream	lmo0800	YqkB protein	9	23	3	8	11	8	62
830228	+	Upstream	lmo0802	weakly GTP-pyrophosphokinase	4	5	5	5	5	0	24
830998	+	Upstream	lmo0803	putative Na+-H+ antiporter	0	0	0	0	8	6	14
834105	-	Upstream	lmo0805	hypothetical protein	5	3	0	0	0	0	8
838720	+	Upstream	lmo0811	carbonic anhydrase	12	8	9	40	34	33	136
839493	+	Upstream	lmo0812	hypothetical protein	50	51	15	21	82	11	230
840166	+	Upstream	lmo0813	fructokinases	322	333	210	35	206	124	1230
840175	+	Upstream	lmo0813	fructokinases	0	2	2	0	0	2	6
841125	+	Upstream	lmo0814	oxidoreductases	8	25	9	5	4	0	51
842275	+	Upstream	lmo0815	transcription regulators	0	0	0	0	9	0	9
843748	-	Upstream	lmo0817	E. coli PhnB protein	80	54	4	17	12	0	167
845547	+	Middle	lmo0818	cation transporting ATPase	41	0	10	4	0	19	74
847526	+	Upstream	lmo0820	some similarity to acatyltransferases	3	3	2	0	4	0	12
849288	+	Upstream	lmo0823	oxydoreductases	44	28	16	30	26	16	160
852664	+	Upstream	lmo0826	transport protein	12	17	9	6	67	2	113
855722	+	Upstream	lmo0829	highly pyruvate-flavodoxin oxidoreductase	161	223	119	206	533	111	1353
855732	+	Upstream	lmo0829	highly pyruvate-flavodoxin oxidoreductase	4	7	7	3	25	0	46
859521	-	Intergenic	NA	NA	15	38	14	84	49	79	279
861644	-	Upstream	lmo0830	highly fructose-1-6-bisphosphatase	0	3	2	0	0	0	5
862938	+	Intergenic	NA	NA	0	2	0	2	0	0	4
867026	-	Upstream	lmo0836	phosphate-starvation-inducible protein PsiE	2	0	0	2	2	0	6
872436	-	Upstream	lmo0840	hypothetical protein	29	30	15	3	5	0	82
872588	+	Upstream	lmo0841	cation calcium transporting ATPase	86	79	52	31	15	8	271
882292	-	Upstream	lmo0843	YsdA	22	40	12	10	0	4	88
882302	+	Upstream	lmo0844	hypothetical protein	10	17	6	9	8	4	54
882759	+	Upstream	NA	NA	5	3	0	11	31	0	50
883991	+	Middle	lmo0845	YxjH and YxjG proteins	3	7	0	0	2	0	12
884150	+	Upstream	lmo0846	excinuclease ABC- chain C UvrC	2	0	0	0	5	0	7
885371	+	Upstream	lmo0847	Glutamine ABC transporter binding and transport protein	14	9	7	23	34	9	96
889995	+	Upstream	lmo0850	hypothetical protein	159	0	73	146	211	214	803
890010	+	Upstream	lmo0850	hypothetical protein	4	0	0	2	0	5	11
890017	+	Upstream	lmo0850	hypothetical protein	26	28	28	63	241	26	412
890027	+	Upstream	lmo0850	hypothetical protein	8	0	2	3	0	2	15
890034	+	Upstream	lmo0850	hypothetical protein	10	5	6	0	6	2	29
890043	+	Upstream	lmo0850	hypothetical protein	3	2	0	2	6	2	15
890049	+	Upstream	lmo0850	hypothetical protein	2	2	0	2	0	2	8
890392	+	Upstream	lmo0851	hypothetical protein	9	48	14	87	325	62	545
891250	+	Upstream	lmo0852	transcription regulator TetR-AcrR family	3	0	2	2	6	3	16
892638	+	Upstream	lmo0855	D-alanyl-alanine synthetase A	8	5	2	2	7	0	24
895210	+	Middle	lmo0856	UDP-N-acetylmuramoylalanyl-D-glutamyl-2-6-diamino pimelate-D-alanyl-D-alanyl ligase	7	6	0	0	8	0	21
897053	-	Upstream	lmo0858	transcription regulator lacI family	12	14	12	9	18	19	84
897222	+	Upstream	lmo0859	putative sugar ABC transporter- periplasmic sugar-binding protein	2	2	0	0	0	0	4
905685	+	Intergenic	NA	NA	3	2	0	18	19	0	42
907526	+	Intergenic	NA	NA	0	3	2	3	2	0	10
909145	+	Upstream	lmo0869	hypothetical protein	13	2	3	2	5	10	35
910942	-	Upstream	lmo0871	YtcD protein	4	5	0	0	0	0	9
910944	-	Upstream	lmo0871	YtcD protein	6	6	0	0	0	0	12
918993	+	Upstream	lmo0880	wall associated protein precursor LPXTG motif	13	0	6	63	185	265	532
921040	+	Upstream	lmo0882	YdbS protein	4	5	2	6	6	0	23
923124	+	Upstream	lmo0884	protoporphyrinogen oxidase	134	220	91	83	32	72	632
923130	+	Upstream	lmo0884	protoporphyrinogen oxidase	11	18	6	0	0	0	35
926072	+	Upstream	lmo0887	YdcD protein	26	28	4	11	13	6	88
926171	+	Upstream	lmo0887	YdcD protein	2	8	0	0	0	0	10
926193	+	Upstream	lmo0887	YdcD protein	2223	3572	1234	935	626	1032	9622
926228	+	Upstream	lmo0887	YdcD protein	0	0	0	4	40	28	72
927079	+	Upstream	lmo0889	highly positive regulator of sigma-B activity	4	9	2	10	11	3	39
928738	+	Upstream	lmo0892	highly serine phosphatase RsbU	6	2	0	2	0	0	10
929823	+	Upstream	lmo0893	anti-anti-sigma factor antagonist of RsbW	4	5	0	2	0	0	11
929830	+	Upstream	lmo0893	anti-anti-sigma factor antagonist of RsbW	6	14	0	7	3	2	32
929838	+	Upstream	lmo0893	anti-anti-sigma factor antagonist of RsbW	7	9	2	6	0	7	31
929863	+	Upstream	lmo0893	anti-anti-sigma factor antagonist of RsbW	551	9	222	177	146	495	1600
929891	+	Upstream	lmo0893	anti-anti-sigma factor antagonist of RsbW	29	49	11	4	0	6	99
931149	+	Middle	lmo0895	RNA polymerase sigma factor SigB	7	0	2	0	3	0	12
932139	+	Upstream	lmo0897	transport proteins	9	5	2	4	10	4	34
933931	+	Upstream	lmo0898	hypothetical protein	9	14	8	2	9	0	42
936645	+	Upstream	lmot12	tRNA-Asn	2	2	3	16	3	0	26
936729	+	Upstream	lmot13	tRNA-Ser	7	7	11	51	23	17	116
937176	+	Upstream	lmo0900	hypothetical protein	12	10	2	11	23	4	62
939062	+	Upstream	lmo0902	transcription regulator GntR family	615	532	104	112	213	63	1639
939070	+	Upstream	lmo0902	transcription regulator GntR family	5	0	0	0	2	0	7
939082	+	Upstream	lmo0902	transcription regulator GntR family	4	2	0	2	2	0	10
940274	+	Upstream	lmo0903	hypothetical protein	31	16	6	14	8	11	86
940783	+	Upstream	lmo0904	hypothetical protein	164	195	68	4	6	2	439
940789	+	Upstream	lmo0904	hypothetical protein	2	6	0	0	0	0	8
940796	+	Upstream	lmo0904	hypothetical protein	5	5	2	0	0	0	12
941565	+	Upstream	lmo0905	hypothetical protein	10	14	7	63	186	140	420
942065	+	Middle	lmo0905	hypothetical protein	75	116	63	117	148	209	728
943497	+	Middle	lmo0906	glutathione reductase	47	22	14	7	6	7	103
945410	-	Upstream	lmo0908	membrane proteins	0	11	3	5	15	14	48
945496	+	Upstream	lmo0909	GntR regulator - (transcription) family	56	67	16	25	15	9	188
947047	+	Upstream	lmo0911	hypothetical protein	35	0	24	167	134	630	990
947102	+	Middle	lmo0911	hypothetical protein	0	0	0	2	0	0	2
947678	+	Upstream	lmo0912	transporters formate	300	457	158	33	326	13	1287
947688	+	Upstream	lmo0912	transporters formate	7	8	2	0	4	0	21
947700	+	Upstream	lmo0912	transporters formate	3	2	0	0	2	0	7
948706	+	Upstream	lmo0913	succinate semialdehyde dehydrogenase	471	0	58	107	230	153	1019
948734	+	Upstream	lmo0913	succinate semialdehyde dehydrogenase	0	0	0	0	6	2	8
950338	+	Upstream	lmo0914	PTS system IIB component	138	60	101	112	86	99	596
950339	+	Upstream	lmo0914	PTS system IIB component	4	2	0	0	0	0	6
955824	+	Intergenic	NA	NA	25	24	3	15	40	5	112
957691	+	Upstream	lmo0920	YcgR protein	0	0	0	0	5	0	5
959665	+	Upstream	lmo0922	pantothenate kinase	10	5	4	5	34	2	60
960712	+	Upstream	lmo0923	ABC transporter- ATP-binding protein N-terminal part	21	36	6	14	43	15	135
965360	-	Upstream	lmo0927	hypothetical protein	14	11	4	2	6	0	37
966173	+	Upstream	lmo0929	sortase	2	4	2	0	0	0	8
966227	+	Upstream	lmo0929	sortase	5	7	2	4	18	2	38
966999	+	Upstream	lmo0930	YhfI protein	50	30	12	20	49	18	179
969454	-	Upstream	lmo0932	hypothetical protein	0	0	0	0	3	5	8
970656	-	Upstream	lmo0933	sugar transferase	42	46	7	25	38	10	168
970975	+	Upstream	lmo0934	YhbA protein	0	0	0	2	7	0	9
972184	+	Upstream	lmo0935	CspR protein- rRNA methylase homolog	4	2	0	0	0	0	6
973704	-	Upstream	lmo0937	hypothetical P	206	0	25	402	392	289	1314
974989	-	Upstream	lmo0939	hypothetical protein	14	19	3	60	141	89	326
978885	-	Upstream	lmo0942	HSP90 family protein	36	17	7	12	10	8	90
978908	+	Upstream	lmo0943	non-heme iron-binding ferritin	5	6	2	2	7	4	26
978973	+	Upstream	lmo0943	non-heme iron-binding ferritin	232	0	36	34	59	44	405
979023	+	Upstream	lmo0943	non-heme iron-binding ferritin	3989	7330	3546	191	1520	4062	20638
979034	+	Upstream	lmo0943	non-heme iron-binding ferritin	17	28	14	0	4	12	75
979042	+	Upstream	lmo0943	non-heme iron-binding ferritin	11	11	6	0	7	15	50
979059	+	Upstream	lmo0943	non-heme iron-binding ferritin	12	18	11	5	11	4	61
979668	+	Upstream	lmo0944	YneR protein	31	0	6	2	2	0	41
979722	+	Upstream	lmo0944	YneR protein	63	56	23	15	33	7	197
979738	+	Upstream	lmo0944	YneR protein	4	0	0	2	0	3	9
980160	+	Upstream	lmo0945	ComEC protein and to ComEA	2	0	0	0	2	0	4
981486	+	Middle	lmo0946	hypothetical protein	0	0	0	2	14	6	22
983679	-	Upstream	lmo0948	transcription regulator	3	4	0	0	0	0	7
983737	+	Upstream	lmo0949	hypothetical protein	0	0	0	0	2	3	5
983748	+	Upstream	lmo0949	hypothetical protein	3	0	4	17	56	11	91
986592	-	Upstream	lmo0951	hypothetical protein	5	0	0	0	4	0	9
986694	+	Upstream	lmo0952	hypothetical protein	157	162	38	107	155	19	638
987250	+	Upstream	lmo0953	hypothetical protein	423	0	343	522	365	959	2612
987604	+	Upstream	lmo0954	hypothetical protein	3	5	0	9	13	7	37
989027	+	Upstream	lmo0956	N-acetylglucosamine-6P-phosphate deacetylase EC 3.5.1.25	6	0	2	0	0	0	8
991781	+	Upstream	lmo0959	undacaprenyl-phosphate N-acetylglucosaminyltransferase	2	0	0	8	3	4	17
992947	+	Upstream	lmo0960	proteases	243	330	121	65	525	15	1299
995131	+	Upstream	lmo0962	epitope LemA	74	85	32	5	2	4	202
995137	+	Upstream	lmo0962	epitope LemA	2	3	0	0	0	0	5
995171	+	Upstream	lmo0962	epitope LemA	0	0	2	0	4	11	17
997682	-	Upstream	lmo0964	YjbH protein	0	4	0	0	0	0	4
998898	-	Upstream	lmo0966	hypothetical protein	2	11	0	2	9	16	40
998978	+	Upstream	lmo0967	YjbM protein	18	11	5	9	23	15	81
998997	+	Upstream	lmo0967	YjbM protein	5	0	0	0	0	0	5
999143	+	Middle	lmo0967	YjbM protein	9	17	5	2	2	0	35
1001431	+	Upstream	lmo0970	enoyl-acyl carrier protein reductase	3	2	0	0	0	0	5
1001441	+	Upstream	lmo0970	enoyl-acyl carrier protein reductase	8	3	0	0	3	0	14
1001467	+	Upstream	lmo0970	enoyl-acyl carrier protein reductase	175	163	96	115	77	30	656
1001478	+	Upstream	lmo0970	enoyl-acyl carrier protein reductase	2	0	0	2	3	0	7
1001487	+	Upstream	lmo0970	enoyl-acyl carrier protein reductase	6	0	0	3	4	3	16
1003609	-	Middle	lmo0972	D-alanine--polyphosphoribitol ligase subunit 2	0	0	0	0	5	0	5
1006613	-	Upstream	lmo0974	D-alanine--polyphosphoribitol ligase subunit 1	0	0	0	0	7	0	7
1006810	-	Upstream	lmo0974	D-alanine--polyphosphoribitol ligase subunit 1	6	0	0	0	12	0	18
1006917	+	Upstream	lmo0975	ribose-5-phosphate isomerase A	43	52	11	9	12	3	130
1008937	-	Upstream	lmo0977	YjcH protein	13	4	3	3	15	3	41
1009058	+	Upstream	lmo0978	branched-chain amino acid aminotransferase	251	303	140	21	112	17	844
1010237	+	Upstream	lmo0979	daunorubicin resistance ATP-binding proteins	16	14	5	2	2	3	42
1013356	-	Upstream	lmo0981	efflux transporter	5	0	2	16	47	0	70
1013446	+	Upstream	lmo0982	glucanase and peptidase	33	35	12	40	170	26	316
1013447	+	Upstream	lmo0982	glucanase and peptidase	3	0	0	0	5	0	8
1015135	+	Upstream	lmo0984	weakly two-component response regulator	4	8	3	3	2	0	20
1017841	+	Upstream	lmo0988	peptide chain release factor 3	0	10	3	32	50	10	105
1019517	+	Upstream	lmo0989	regulatory proteins MarR family	21	20	2	8	17	0	68
1021442	+	Upstream	NA	NA	3	3	6	24	3	16	55
1022521	+	Upstream	lmo0992	hypothetical protein	2	6	5	9	123	123	268
1025156	-	Upstream	lmo0994	hypothetical protein	10	0	3	16	50	121	200
