Genome elements	LOGFC_EGD_WT vs EGDe_280212.ge	FC_EGD_WT vs EGDe_280212.ge	STAT_EGD_WT vs EGDe_280212_LPE.ge	STAT_EGD_WT vs EGDe_280212_FDRBH.ge	STAT_EGD_WT vs EGDe_280212_FDRBY.ge	STAT_EGD_WT vs EGDe_280212_FDRBONF.ge	Strand	Begin	End	Length (bp)	Info	Description	Note	Supp Note	Operon	COG	StartCodon	SD energy
lmo0823	-0.8490485881661503	-1.8013126246325266	0.3407730612537002	0.8791450210020596	1.0	1.0	+	849314	850138	825			oxidoreductase				TTG	 
lmo0824	0.5373699869642108	1.45132436011181	0.5959512439210735	0.9856250066710948	1.0	1.0	+	850216	851184	969			hypothetical protein				ATG	 
lmo0825	0.39715193575142926	1.316905603139591	0.6944744488466199	0.9858908948598344	1.0	1.0	+	851225	852505	1281			3-hydroxy-3-methylglutaryl-CoA reductase				ATG	 
lmo0826	-0.09848260670596964	-1.0706467885926554	0.9181229858035262	0.9992621697714404	1.0	1.0	+	852704	854338	1635			transporter				ATG	 
lmo0829	-0.6528178560715396	-1.5722360729354987	0.41398243280815994	0.9187760003697102	1.0	1.0	+	855759	859406	3648	nifJ		pyruvate-flavodoxin oxidoreductase				ATG	 
lmo0830	-0.11824294132660906	-1.0854121334879383	0.9070328851324827	1.0	1.0	1.0	-	859656	861617	1962	fbp		fructose-1,6-bisphosphatase				GTG	 
lmo0831	-1.1630925681940791	-2.239369458218537	0.24766342166855915	0.8128373028844325	1.0	1.0	-	861731	862642	912			hypothetical protein				ATG	 
lmo0832	0.131868981890241	1.0957122550033294	0.6560975380196941	0.979340969146949	1.0	1.0	+	863322	863606	285			transposase				ATG	 
lmo0833	2.6891624113570805	6.449388650839625	0.003949124876241772	0.06682953585211522	0.5700563843529155	1.0	+	863798	864688	891			transcriptional regulator				ATG	 
lmo0834	0.027520322899480476	1.0192587365476327	0.9443633641933344	1.0	1.0	1.0	+	864824	865537	714			hypothetical protein				ATA	 
lmo0835	0.007810932541950422	1.0054288087347945	0.9892179882269243	1.0	1.0	1.0	+	865530	866534	1005			peptidoglycan binding protein				GTG	 
lmo0836	-1.2716549804530697	-2.414383715686511	0.2039513130879721	0.752096068575401	1.0	1.0	-	866577	866990	414			phosphate-starvation-inducible protein PsiE				ATG	 
lmo0837	-0.45852630392263016	-1.374137435694666	0.637068363184074	0.9775841292222269	1.0	1.0	+	867163	868800	1638			hypothetical protein				TTG	 
lmo0838	4.7770309258899	27.41761027549111	3.7673204555943585E-8	2.142098411050952E-6	1.8272113662946853E-5	1.0710492055254761E-4	+	869095	870480	1386	uhpT		sugar:phosphate antiporter				ATG	 
lmo0839	1.1264457692026602	2.1832022237311732	0.1222089030717377	0.6052960129493908	1.0	1.0	-	870587	871807	1221			tetracycline resistance protein				ATG	 
lmo0840	-0.141107534166661	-1.1027513557883724	0.8803911931951345	0.9995815344463927	1.0	1.0	-	871940	872410	471			hypothetical protein				ATG	 
lmo0841	-0.5183720953013804	-1.4323381176416845	0.6051833111845464	0.9894130681891892	1.0	1.0	+	872616	875258	2643			calcium-transporting ATPase				TTG	 
lmo0842	0.5424474330784292	1.4564411752254454	0.5522702176485021	0.9703948690457865	1.0	1.0	+	875721	881855	6135			peptidoglycan binding protein				ATG	 
lmo0843	0.13977284512147037	1.1017316326307725	0.8812947314635324	0.9992556927405205	1.0	1.0	-	881992	882249	258			hypothetical protein				ATG	 
lmo0844	-0.49647694769726947	-1.4107642749467861	0.618932779050964	0.9846815281711755	1.0	1.0	+	882328	882705	378			hypothetical protein				ATG	 
lmo0845	-0.4869825738116802	-1.4015105202544396	0.6172522499518336	0.9831082053854694	1.0	1.0	+	882962	884065	1104			hypothetical protein				ATG	 
lmo0846	-0.5155520194297596	-1.4295410214054882	0.6096231324399292	0.9881950605847143	1.0	1.0	+	884170	885270	1101			excinuclease ABC subunit C				TTG	 
lmo0847	0.6063618034544493	1.5224151288702013	0.539690983031675	0.9625730644661555	1.0	1.0	+	885440	886882	1443			glutamine ABC transporter				ATG	 
lmo0848	1.0461037834083111	2.0649456119813037	0.22752644115947995	0.7894606839822511	1.0	1.0	+	886875	887603	729			amino acid ABC transporter ATP-binding protein				ATG	 
lmo0849	0.5503132094833294	1.464403583851476	0.24437720076320435	0.8133140992928172	1.0	1.0	-	887652	889502	1851			amidase				ATG	 
lmo0850	-0.04149092826886047	-1.0291768623238784	0.967171092713585	1.0	1.0	1.0	+	890069	890215	147			hypothetical protein				TTG	 
lmo0851	-0.8592697441136199	-1.8141198164435173	0.3163059128599848	0.8656075892672628	1.0	1.0	+	890439	891197	759			hypothetical protein				ATG	 
lmo0852	-0.5887990107692396	-1.503994207661271	0.5566797748412866	0.9727354639666735	1.0	1.0	+	891277	891831	555			TetR family transcriptional regulator				ATG	 
lmo0853	-0.6696081510348391	-1.5906408764461712	0.46771655202694107	0.9406338748255488	1.0	1.0	+	891848	892189	342			SugE protein				TTG	 
lmo0854	-0.33382339373348024	-1.260349097593824	0.7296725242304685	0.9912003591528783	1.0	1.0	+	892192	892512	321			SugE protein				ATG	 
lmo0855	-0.6340915104019391	-1.5519601465346502	0.45035837128483924	0.9325716424190499	1.0	1.0	+	892662	893774	1113	ddl		D-alanyl-alanine synthetase A				ATG	 
lmo0856	-0.14698117410335954	-1.1072501357532472	0.8586345088947133	1.0	1.0	1.0	+	893838	895211	1374	murF		UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diamino pimelate-D-alanyl-D-alanyl ligase				TTG	 
lmo0857	-0.47164784316924013	-1.3866924410249626	0.5594551395789165	0.9738722119396815	1.0	1.0	+	895278	895991	714			carboxylesterase				ATG	 
lmo0858	-1.0114321553086993	-2.015911291038439	0.3153157997318701	0.8652922959823423	1.0	1.0	-	896003	897028	1026			LacI family transcriptional regulator				ATG	 
lmo0859	0.9645636912831206	1.951473255743896	0.19381949447735014	0.7347050970654753	1.0	1.0	+	897273	898592	1320			sugar ABC transporter substrate-binding protein				ATG	 
lmo0860	0.7273538184144206	1.655599615256859	0.32654532042299245	0.8645125530304795	1.0	1.0	+	898589	899467	879			sugar ABC transporter permease				ATG	 
lmo0861	0.66407684121471	1.5845540165483534	0.3887848681682673	0.9071686854643027	1.0	1.0	+	899454	900287	834			sugar ABC transporter permease				ATG	 
lmo0862	0.9420628118209304	1.9212733741722487	0.3007727209876321	0.8491691380638297	1.0	1.0	+	900303	901835	1533			oligo-1,6-glucosidase				TTG	 
lmo0863	0.6452275502794889	1.563985947793245	0.46806808185522053	0.9398201090496392	1.0	1.0	+	901837	902751	915			hypothetical protein				ATG	 
lmo0864	0.4493795815489108	1.365452929322915	0.651445864250279	0.9804449931516903	1.0	1.0	+	902773	903840	1068			hypothetical protein				ATG	 
lmo0865	0.3616876482573099	1.2849281130530272	0.7203645249662878	0.9865107632365877	1.0	1.0	+	903837	905510	1674			phosphomannomutase				ATG	 
lmo0866	0.29106305096423846	1.223541513129939	0.6305446073717547	0.9810319316387774	1.0	1.0	+	905962	907524	1563			ATP-dependent RNA helicase				TTG	 
lmo0867	0.37213743944905	1.2942689481334673	0.7020536990395283	0.9856487241330266	1.0	1.0	+	907979	908467	489			hypothetical protein				ATG	 
lmo0868	-0.39599016513301954	-1.315845554865708	0.6936703898339163	0.986709364669374	1.0	1.0	-	908499	909056	558			hypothetical protein				ATG	 
lmo0869	1.5793117270455692	2.9882725286538965	0.11023463722553628	0.5906183421956406	1.0	1.0	+	909159	910157	999			hypothetical protein				ATG	 
lmo0870	1.8698358883442614	3.6549100183478824	0.059356971234386435	0.4488081628174485	1.0	1.0	+	910173	910484	312			hypothetical protein				ATG	 
lmo0871	0.2147311305261006	1.160487618657037	0.8314085884682023	1.0	1.0	1.0	-	910517	910870	354			hypothetical protein				ATG	 
lmo0872	0.7688715865108611	1.7039365169509553	0.3559340286347412	0.8923460700251934	1.0	1.0	+	910998	912164	1167			antibiotic resistance protein				GTG	 
lmo0873	0.7015768443621706	1.6262813231308235	0.2514015583577871	0.8149767735589382	1.0	1.0	+	912372	914390	2019			transcriptional regulator				ATG	 
lmo0874	0.6391162014609506	1.5573748153824707	0.04513116099441916	0.37737614913862844	1.0	1.0	+	914405	914734	330			PTS sugar transporter subunit IIA				ATG	 
lmo0875	1.1568127156423413	2.2296429761721965	0.09531411420509572	0.5517490316167206	1.0	1.0	+	914735	915070	336			PTS beta-glucoside transporter subunit IIB				ATG	 
lmo0876	0.7929645835404004	1.7326311782286994	0.2823509889874567	0.8364558144932224	1.0	1.0	+	915090	916415	1326			PTS sugar transporter subunit IIC				ATG	 
lmo0877	0.8741089056053015	1.8328756435363598	0.31634410314762085	0.8656075892672628	1.0	1.0	+	916436	917164	729			glucosamine-6-phosphate isomerase				ATG	 
lmo0878	0.41288314245108015	1.3313437707149598	0.6445344458301063	0.9787901800323303	1.0	1.0	+	917164	918117	954			oxidoreductase				ATG	 
lmo0879	0.5189037593317405	1.4328660621974094	0.5963521987911542	0.9857147099786345	1.0	1.0	+	918135	918902	768			hypothetical protein				ATG	 
lmo0880	0.8975913805272304	1.862953133262285	0.3719189898219821	0.8975939627027972	1.0	1.0	+	919020	920408	1389			wall associated protein precursor				ATG	 
lmo0881	-0.4779690874095204	-1.392781637252078	0.41369421495000835	0.919067771430711	1.0	1.0	-	920452	920928	477			hypothetical protein				ATG	 
lmo0882	-0.1794742179117197	-1.1324710873650923	0.840413316055476	1.0	1.0	1.0	+	921062	921544	483			hypothetical protein				ATG	 
lmo0883	-0.5466717164246386	-1.4607119574223673	0.516086745638576	0.958976874412073	1.0	1.0	+	921537	923012	1476			hypothetical protein				ATG	 
lmo0884	0.33796366106855125	1.2639712608556921	0.7321612889001989	0.9912069258777455	1.0	1.0	+	923161	924540	1380			protoporphyrinogen oxidase				GTG	 
lmo0885	0.7271908771278692	1.6554126385983947	0.4434767292125801	0.9329682770855897	1.0	1.0	+	924542	924898	357	acpS		4'-phosphopantetheinyl transferase				ATG	 
lmo0886	-0.03411558141966964	-1.023928929142312	0.9716807530854713	1.0	1.0	1.0	+	924917	926023	1107	dal		alanine racemase				ATG	 
lmo0887	-0.2802085311056892	-1.2143704001446642	0.7246595128401315	0.9900081667489159	1.0	1.0	+	926229	926507	279			hypothetical protein				GTG	 
lmo0888	-0.01792038769671933	-1.0124989330361267	0.9834981756873608	1.0	1.0	1.0	+	926511	926858	348			hypothetical protein				CTG	 
lmo0889	0.6367335220800605	1.5548048596933768	0.443409646087769	0.9332378542941268	1.0	1.0	+	927110	927946	837	RsbR		positive regulator of sigma-B activity				ATG	 
lmo0890	0.5343915858150101	1.4483312346613089	0.5145551923436433	0.9598952833549724	1.0	1.0	+	927952	928308	357	rsbS		negative regulation of sigma-B activity				GTG	 
lmo0891	0.5770916288960102	1.491838773810685	0.4842795017695152	0.9501771038859431	1.0	1.0	+	928311	928721	411	rsbT		positive regulation of sigma-B activity				ATG	 
lmo0892	0.9115614243161101	1.8810802843978338	0.2712812221320613	0.8266448129328926	1.0	1.0	+	928738	929742	1005	rsbU		serine phosphatase				ATG	 
lmo0893	-0.18038422963463852	-1.1331856438232126	0.8207603865444977	1.0	1.0	1.0	+	929892	930236	345	rsbV		anti-anti-sigma factor (antagonist of RsbW)				ATG	 
lmo0894	-0.222118651138139	-1.166445297456586	0.782043043595867	0.9973372756640508	1.0	1.0	+	930220	930693	474	rsbW		serine-protein kinase RsbW				ATG	 
lmo0895	-0.07664494831336022	-1.0545627539926206	0.9130937860372594	1.0	1.0	1.0	+	930671	931450	780	sigB		RNA polymerase sigma factor SigB				ATG	 
lmo0896	-0.08227964239805985	-1.0586895843261326	0.9188951034815309	0.9990129174753317	1.0	1.0	+	931451	932050	600	rsbX		indirect negative regulation of sigma B dependant gene expression (serine phosphatase)				ATG	 
lmo0897	1.0615268468746901	2.0871392344766684	0.2929289897353504	0.8420597753464119	1.0	1.0	+	932257	933882	1626			transporter				TTG	 
lmo0898	-0.23675016815933958	-1.1783353375342929	0.7847273546356651	0.9949676773121535	1.0	1.0	+	933959	936136	2178			hypothetical protein				ATG	 
lmo0899	-0.44927325026270815	-1.3653522947385148	0.6550829607671296	0.9820240926013204	1.0	1.0	+	936136	936603	468			hypothetical protein				ATG	 
lmo0900	-0.2757466547880085	-1.2106204736462576	0.784985051076736	0.9949618701549682	1.0	1.0	+	937202	937594	393			hypothetical protein				ATG	 
lmo0901	-1.1160064600748303	-2.1674616390899635	0.08548739531752225	0.5249258420900988	1.0	1.0	+	937739	939025	1287			PTS cellbiose transporter subunit IIC				GTG	 
lmo0902	-1.9469203462381302	-3.855506355715538	0.045935911039916344	0.38074575826962737	1.0	1.0	+	939106	939819	714			GntR family transcriptional regulator				TTG	 
lmo0903	3.170761964485921	9.005222761981555	4.1419895451255684E-5	0.001323109694021572	0.011286134471220585	0.11775676276791991	+	940316	940696	381			hypothetical protein				ATG	 
lmo0904	-0.0025843618615297714	-1.0017929485514572	0.9978042988141954	1.0	1.0	1.0	+	940810	941484	675			hypothetical protein				ATG	 
lmo0905	-0.32553705561771906	-1.2531308405239883	0.7431261978573731	0.9889137485104005	1.0	1.0	+	941615	942112	498			hypothetical protein				ATG	 
lmo0906	-0.7923899208655811	-1.7319411639406819	0.3440773288642567	0.8836602041202184	1.0	1.0	+	942148	943497	1350			glutathione reductase				ATG	 
lmo0907	-0.40859394654433956	-1.3273915050805114	0.6111070561637091	0.9880575657702769	1.0	1.0	+	943526	944200	675			phosphoglycerate mutase				ATG	 
lmo0908	-1.5946632701495513	-3.0202401546930697	0.09131066263667864	0.5390695467334823	1.0	1.0	-	944243	945379	1137			hypothetical protein				TTG	 
lmo0909	0.22985178678301033	1.172714465895392	0.808706182050855	1.0	1.0	1.0	+	945520	945912	393			GntR family transcriptional regulator				ATG	 
lmo0910	0.10387999035664919	1.0746597742668529	0.9150634374997348	1.0	1.0	1.0	+	945915	947018	1104			hypothetical protein				ATG	 
lmo0911	0.015667783412608216	1.0109192646220082	0.9845229526235526	1.0	1.0	1.0	+	947101	947604	504			hypothetical protein				ATG	 
lmo0912	-0.8709160507509903	-1.828823758139089	0.2755625645575608	0.8275375791255345	1.0	1.0	+	947718	948530	813			formate transporter				GTG	 
lmo0913	-1.5064018728553705	-2.841005989083953	0.08935800064099331	0.5348311490996716	1.0	1.0	+	948754	950220	1467			succinate semialdehyde dehydrogenase				TTG	 
lmo0914	-4.095022778307391	-17.0893163450586	1.6762551674709414E-5	5.8834486927406E-4	0.0050185856396359205	0.047655934411198864	+	950363	950668	306			PTS sugar transporter subunit IIB				ATG	 
lmo0915	-1.15744636154166	-2.2306224724572266	0.2495595135961134	0.8127121387786373	1.0	1.0	+	950673	951941	1269			PTS sugar transporter subunit IIC				ATG	 
lmo0916	1.18623659620354	2.275583611736584	0.10500601790518083	0.5785505986519943	1.0	1.0	+	951956	952306	351			PTS sugar transporter subunit IIA				ATG	 
lmo0917	0.675835143834691	1.5975212743731118	0.5011682587379191	0.9534024401939203	1.0	1.0	+	952318	953769	1452			beta-glucosidase				ATG	 
lmo0918	0.5670853464925907	1.4815274391551796	0.4188316189078398	0.9230529399651075	1.0	1.0	+	953842	955740	1899			transcription antiterminator BglG				ATG	 
lmo0919	0.022340699936870045	1.0156059131700688	0.9807900207033411	1.0	1.0	1.0	+	956031	957602	1572			antibiotic ABC transporter ATP-binding protein				ATG	 
lmo0920	-1.8440789509040814	-3.5902366715465854	0.06537948922252856	0.46819619108223853	1.0	1.0	+	957724	958764	1041			hypothetical protein				ATG	 
lmo0921	-0.8361255384103288	-1.7852492825013913	0.39896305280103617	0.9088557364690271	1.0	1.0	+	958783	959622	840			hypothetical protein				ATG	 
lmo0922	0.09136885855896182	1.0653805579062647	0.9103380967700152	1.0	1.0	1.0	+	959711	960631	921			pantothenate kinase				ATG	 
lmo0923	-0.3131603832568288	-1.2424263936584783	0.7364395073936397	0.990864893289218	1.0	1.0	+	960748	961221	474			ABC transporter ATP-binding protein				ATG	 
lmo0925	0.14268158964540056	1.103955171583245	0.872587547785858	1.0	1.0	1.0	+	961469	962584	1116			hypothetical protein				ATG	 
lmo0926	-0.5597373485727015	-1.474000842022921	0.5644008526375668	0.9707554163699057	1.0	1.0	+	962607	963263	657			TetR family transcriptional regulator				GTG	 
lmo0927	-0.42763802957166064	-1.345029699870093	0.5935743808942593	0.9857079234126047	1.0	1.0	-	963294	965255	1962			hypothetical protein				ATG	 
lmo0928	1.0319614423761898	2.0448024108790044	0.23361397557225194	0.8005469476904286	1.0	1.0	+	965513	966136	624			3-methyladenine DNA glycosylase				ATG	 
lmo0929	0.6429154681801492	1.5614814906609156	0.4826070436983252	0.9495168340722066	1.0	1.0	+	966245	966913	669			sortase				ATG	 
lmo0930	-1.7665628532371116	-3.402423803430004	0.06985037242383918	0.4855369408336792	1.0	1.0	+	967029	967760	732			hypothetical protein				ATG	 
lmo0931	-0.34531238897289107	-1.2704260400599723	0.6829562738947095	0.985066675412026	1.0	1.0	+	967784	968779	996			lipoate protein ligase A				ATG	 
lmo0932	-0.6921976651676598	-1.6157429146937057	0.4911225967808286	0.9511318410408008	1.0	1.0	-	968819	969424	606			hypothetical protein				ATG	 
lmo0933	-0.6911912092323398	-1.614616129819023	0.40259707621630736	0.9134744514628587	1.0	1.0	-	969549	970496	948			sugar transferase				ATG	 
lmo0934	-0.1737438906788391	-1.12798187869887	0.8372271901599594	1.0	1.0	1.0	+	971037	972176	1140			hypothetical protein				ATG	 
lmo0935	0.2919584637552095	1.2243011433679423	0.720302478756746	0.9865107632365877	1.0	1.0	+	972197	972706	510			rRNA methylase				ATG	 
lmo0936	0.5889381764826904	1.5041392934322224	0.4908888866955714	0.9511318410408008	1.0	1.0	+	972719	973459	741			nitroflavin reductase				ATG	 
lmo0937	-0.5021043073012592	-1.4162778318417624	0.5305394521189714	0.9644013186536033	1.0	1.0	-	973509	973670	162			hypothetical protein				ATG	 
lmo0938	-1.0183195186264289	-2.025558172353666	0.30120041509303497	0.8495166469340262	1.0	1.0	-	973758	974216	459			protein-tyrosine-phosphatase				TTG	 
lmo0939	-0.549671118132351	-1.4637519758279967	0.586203149776285	0.9793710677360681	1.0	1.0	-	974229	974975	747			hypothetical protein				ATG	 
lmo0940	0.0033487538130412275	1.0023238752860664	0.9971404484525292	1.0	1.0	1.0	-	975071	976033	963			hypothetical protein				ATG	 
lmo0941	0.5873675240710288	1.5025026381445294	0.5498912826749762	0.9698144644199488	1.0	1.0	-	976065	977039	975			hypothetical protein				ATG	 
lmo0942	-0.11069495964451015	-1.0797482360366657	0.9087824930112077	1.0	1.0	1.0	-	977051	978856	1806			heat shock protein 90				ATG	 
lmo0943	0.24232023149851045	1.1828935350980572	0.6494697639402895	0.9797582962827239	1.0	1.0	+	979059	979529	471	fri		non-heme iron-binding ferritin				ATG	 
lmo0944	-1.8587071306266996	-3.6268249897927625	0.04683605778350586	0.3837317356729313	1.0	1.0	+	979762	980064	303			hypothetical protein				ATG	 
lmo0945	1.2088432680579295	2.311522279608949	0.22903493153697196	0.7921487960579213	1.0	1.0	+	980177	981307	1131			competence protein ComEC				ATG	 
lmo0946	0.21168199004087018	1.1580375145055624	0.8341291004360416	1.0	1.0	1.0	+	981317	981544	228			hypothetical protein				ATG	 
lmo0947	-3.7740596283427115	-13.680600270453763	8.892857195075266E-8	4.86199865492288E-6	4.147288079461278E-5	2.528239300559898E-4	-	981743	982960	1218			hypothetical protein				ATG	 
lmo0948	-0.63673856482992	-1.5548102943177904	0.4991793545603608	0.9522300321471913	1.0	1.0	-	982957	983646	690			transcriptional regulator				ATG	 
lmo0949	-0.7023558221004702	-1.6271596646960842	0.4603672291414306	0.9360287853171788	1.0	1.0	+	983768	984814	1047			hypothetical protein				ATG	 
lmo0950	-0.1271067257937588	-1.0921013327915765	0.8945426270175652	1.0	1.0	1.0	-	984823	985722	900			hypothetical protein				ATG	 
lmo0951	0.5776740924074595	1.4924411998673848	0.5631295956478244	0.9734966832738947	1.0	1.0	-	985743	986564	822			hypothetical protein				ATG	 
lmo0952	-1.086259986485011	-2.123229008187504	0.20462766783211528	0.7535705435838131	1.0	1.0	+	986722	987180	459			hypothetical protein				ATG	 
lmo0953	-0.03126037272919113	-1.0219044959452555	0.9690283812096667	1.0	1.0	1.0	+	987274	987501	228			hypothetical protein				GTG	 
lmo0954	0.97644680279517	1.9676134237709053	0.3336068902064866	0.8742588305530752	1.0	1.0	+	987735	988049	315			hypothetical protein				ATG	 
lmo0955	1.6252881546900104	3.0850377750181863	0.10636533864687325	0.5837773316082252	1.0	1.0	+	988065	988910	846			hypothetical protein				ATG	 
lmo0956	1.5456562699136196	2.9193683827512475	0.0632127134045235	0.45962594426869646	1.0	1.0	+	989099	990232	1134			N-acetylglucosamine-6P-phosphate deacetylase				ATG	 
lmo0957	1.4262169663503599	2.687410979753462	0.0758244462061084	0.5072209425034498	1.0	1.0	+	990248	990952	705			glucosamine-6-phosphate isomerase				ATG	 
lmo0958	0.5938864843511613	1.5093072069509987	0.4715735877271685	0.9428155484587483	1.0	1.0	+	990968	991690	723			GntR family transcirptional regulator				ATG	 
lmo0959	-0.5245175410665901	-1.4384524594180028	0.5150001542414513	0.9591457010590603	1.0	1.0	+	991810	992865	1056			undacaprenyl-phosphate N-acetylglucosaminyltransferase				ATG	 
lmo0960	-0.12827890227448968	-1.092989015670232	0.8778170384292034	1.0	1.0	1.0	+	992978	993886	909			protease				ATG	 
lmo0961	-0.34955964705724085	-1.27417165330897	0.6934307849856101	0.9870394986475596	1.0	1.0	+	993900	995126	1227			protease				ATG	 
lmo0962	-0.25131270862776134	-1.1902896673273151	0.7339037140387359	0.9911914830243133	1.0	1.0	+	995210	995767	558	lemA		LemA protein				ATG	 
lmo0963	-0.19618886566745886	-1.1456678694970783	0.8070550018889514	1.0	1.0	1.0	+	995790	996704	915			heat shock protein HtpX				ATG	 
lmo0964	-1.0671813274175914	-2.0953355932321327	0.17903341682056084	0.7050183192592341	1.0	1.0	-	996739	997557	819			hypothetical protein				ATG	 
lmo0965	1.114586291140391	2.165329069803692	0.2630325295690952	0.820857828282039	1.0	1.0	-	997795	998379	585			hypothetical protein				ATG	 
lmo0966	0.4087666480236498	1.3275504133678684	0.6865899723592082	0.9862348707705718	1.0	1.0	-	998396	998863	468			hypothetical protein				ATG	 
lmo0967	0.41979492284648146	1.3377373837059878	0.66975806290022	0.9810006042376741	1.0	1.0	+	999022	999690	669			hypothetical protein				TTG	 
lmo0968	0.17972102649333088	1.1326648410581606	0.8448126167585255	1.0	1.0	1.0	+	999722	1000516	795	ppnK		inorganic polyphosphate/ATP-NAD kinase				ATG	 
lmo0969	-0.145696803678371	-1.1062648364012841	0.8678490254004789	1.0	1.0	1.0	+	1000535	1001425	891			ribosomal large subunit pseudouridine synthetase				GTG	 
lmo0970	-0.4656916350637914	-1.3809792429355983	0.5608478147743321	0.9752234479531657	1.0	1.0	+	1001503	1002291	789			enoyl-ACP reductase				ATG	 
lmo0971	1.5288702427253291	2.885597828817287	0.06692270007983847	0.47446692350868025	1.0	1.0	-	1002319	1003593	1275	dltD		DltD protein for D-alanine esterification of lipoteichoic acid and wall teichoic acid				ATG	 
lmo0972	1.1713950623695606	2.252293847801642	0.15908566699453708	0.6811454085323327	1.0	1.0	-	1003593	1003829	237	dltC		D-alanine--poly(phosphoribitol) ligase subunit 2				ATG	 
lmo0973	0.7613682262282992	1.6950974628368503	0.36401113636923244	0.8913726620996794	1.0	1.0	-	1003855	1005039	1185	dltB		DltB protein for D-alanine esterification of lipoteichoic acid and wall teichoic acid				GTG	 
lmo0974	0.12518562057026905	1.0906480490065515	0.8869847766097303	0.9998099210541742	1.0	1.0	-	1005036	1006568	1533	dltA		D-alanine--poly(phosphoribitol) ligase subunit 1				ATG	 
lmo0975	-0.2691563228745295	-1.2051028865543647	0.7888583340422549	0.994997446176633	1.0	1.0	+	1006959	1007633	675			ribose-5-phosphate isomerase A				ATG	 
lmo0976	-0.6845816680653893	-1.6072358707962897	0.44454602493861983	0.9320550184293421	1.0	1.0	-	1007669	1008112	444			hypothetical protein				TTG	 
lmo0977	-0.8932271763329016	-1.8573261484858097	0.3261940282899466	0.8660137373770164	1.0	1.0	-	1008130	1008879	750			hypothetical protein				ATG	 
lmo0978	-1.1465378602248908	-2.2138199004927093	0.14882388523764845	0.6657471284887302	1.0	1.0	+	1009098	1010117	1020			branched-chain amino acid aminotransferase				ATG	 
lmo0979	-1.40344135902951	-2.6453183602019394	0.13958684321891146	0.6464002725581192	1.0	1.0	+	1010313	1011077	765			daunorubicin resistance ATP-binding protein				ATG	 
lmo0980	-1.5355224577212994	-2.898933939258159	0.07677758061045503	0.5054953008390225	1.0	1.0	+	1011074	1011826	753			ABC transporter permease				ATG	 
lmo0981	-0.6517460542983109	-1.5710684667786095	0.46089200158937216	0.9356792261880152	1.0	1.0	-	1011860	1013335	1476			transporter				TTG	 
lmo0982	-0.35844749966015854	-1.2820455313843093	0.6764596852280365	0.984224608548264	1.0	1.0	+	1013475	1014527	1053			peptidase				TTG	 
lmo0983	-0.9256882203953083	-1.899590202556615	0.3520987911097547	0.8914751899737778	1.0	1.0	+	1014540	1015019	480			glutathione peroxidase				ATG	 
lmo0984	1.34721045018218	2.544197115959354	0.17575013512360993	0.6997425098725252	1.0	1.0	+	1015153	1015608	456			hypothetical protein				ATG	 
lmo0985	1.3232093700250598	2.502221266844187	0.17396194512886654	0.6977116605119205	1.0	1.0	+	1015605	1016033	429			hypothetical protein				ATG	 
lmo0986	0.4880403636529991	1.4025384902484184	0.6197299068605668	0.9844595598710653	1.0	1.0	+	1016030	1016941	912			antibiotic ABC transporter ATP-binding protein				ATG	 
lmo0987	0.17980153779120922	1.132728052518951	0.8548225949429442	1.0	1.0	1.0	+	1016934	1017788	855			CylB protein				ATG	 
lmo0988	-1.4571466667775699	-2.7456479754622083	0.0958927930526573	0.5529882568939243	1.0	1.0	+	1017870	1019438	1569	prfC		peptide chain release factor 3				ATG	 
lmo0989	-0.4772344452941297	-1.392072592339574	0.6319697004689102	0.980248061901262	1.0	1.0	+	1019545	1019970	426			MarR family transcriptional regulator				GTG	 
lmo0990	-0.26139658834539947	-1.1986384746918364	0.7911993457840504	0.9953007699398475	1.0	1.0	+	1020022	1021383	1362			hypothetical protein				ATG	 
lmo0991	0.3812996838240297	1.3025147263379446	0.6805617348588928	0.9848823434572053	1.0	1.0	+	1021665	1022432	768			hypothetical protein				GTG	 
lmo0992	-0.2757536350192389	-1.2106263310388747	0.7532585552756492	0.9907868760692456	1.0	1.0	+	1022535	1023302	768			hypothetical protein				ATG	 
lmo0993	-0.27374170216836013	-1.2089392098976257	0.7614287653505915	0.9949240515316936	1.0	1.0	+	1023346	1024680	1335			Na+-transporting ATP synthase subunit J				TTG	 
lmo0994	-0.2052904356058587	-1.1529184227736482	0.7996859528335512	0.9967151091213442	1.0	1.0	-	1024761	1025129	369			hypothetical protein				ATG	 
lmo0995	1.6508171726438494	3.140114514490186	0.10109818876312593	0.5705740934130347	1.0	1.0	-	1025159	1026190	1032			hypothetical protein				ATG	 
lmo0996	-0.008467894172840218	-1.0058867562197107	0.993039010299431	1.0	1.0	1.0	+	1026376	1026855	480			methylated-DNA-protein-cysteine methyltransferase				ATG	 
lmo0997	-0.16101666202441756	-1.1180747637997663	0.8698428239632098	1.0	1.0	1.0	-	1026871	1029045	2175	clpE		ATP-dependent protease				ATG	 
lmo0998	-0.4426181708130308	-1.359068498036928	0.6100917137201245	0.9872484844914914	1.0	1.0	-	1029208	1029819	612			hypothetical protein				TTG	 
lmo0999	-0.9332941172875397	-1.909631298578641	0.3179280551064828	0.867240341218274	1.0	1.0	+	1029965	1030756	792			hypothetical protein				ATG	 
