Guide for interpreting SIPHT output
Locus Name	|	UpGENEnumber		UpGENEname		UpGENEdirection	distUpGENE	|	sRNAstart	end	dirsRNA	lensRNA	|	distDnGENE	DnGENEdir.	DnGENEnumber	DnGENEname		sRNAtype	BLASTscore	BLASTexpect	TermType	NumSearchesPredicted	BLASTpartner	QRNA?	homology to known sRNAs	Num paralogues	Weaker rev paralogue?	Paralogous candidates	Conserved synteny with knowns	Potential UTR?	Riboswitch?	Putative TFBSs
Candidate_156_NC_003210	|	lmo0328		hypothetical_protein                            	*	>>>	88	|	356412	356607	>>>	195	|	-41	>>>	lmo0329	hypothetical_protein                           	*	candidate	252	2.1e-05	T	4	Staphylococcus_epidermidis_RP62A_chromosome_<>Staphylococcus_epidermidis_ATCC_12228_chromosome_<>Staphylococcus_aureus_subsp._aureus_JH1_chromosome_<>Streptococcus_parauberis_KCTC_11537_chromosome_	-	-	0	-	-	-	5	-	-
Candidate_157_NC_003210	|	lmo0332		hypothetical_protein                            	*	>>>	117	|	360625	360709	>>>	84	|	226	>>>	lmo0333	hypothetical_protein                           	*	candidate	206	0.0038	B	15	Bacillus_cereus_ATCC_10987_chromosome_<>Bacillus_anthracis_str._Ames_chromosome_<>Bacillus_anthracis_str._Sterne_chromosome_<>Bacillus_thuringiensis_serovar_konkukian_str._97-27_chromosome_<>Bacillus_anthracis_str._'Ames_Ancestor'_chromosome_<>Bacillus_thuringiensis_str._Al_Hakam_chromosome_<>Nostoc_punctiforme_PCC_73102_chromosome_<>Bacillus_cereus_G9842_chromosome_<>Bacillus_cereus_03BB102_chromosome_<>Bacillus_anthracis_str._CDC_684_chromosome_<>Bacillus_anthracis_str._A0248_chromosome_<>Streptococcus_mitis_B6_chromosome_<>Bacillus_cereus_biovar_anthracis_str._CI_chromosome_<>Methanotorris_igneus_Kol_5_chromosome_<>Cyclobacterium_marinum_DSM_745_chromosome_	-	-	2		Candidate_359_NC_003210(para),Candidate_360_NC_003210(para)	-	-	-	-
Candidate_158_NC_003210	|	lmo0332		hypothetical_protein                            	*	>>>	117	|	360625	360765	>>>	140	|	170	>>>	lmo0333	hypothetical_protein                           	*	candidate	206	0.0038	T	15	Bacillus_cereus_ATCC_10987_chromosome_<>Bacillus_anthracis_str._Ames_chromosome_<>Bacillus_anthracis_str._Sterne_chromosome_<>Bacillus_thuringiensis_serovar_konkukian_str._97-27_chromosome_<>Bacillus_anthracis_str._'Ames_Ancestor'_chromosome_<>Bacillus_thuringiensis_str._Al_Hakam_chromosome_<>Nostoc_punctiforme_PCC_73102_chromosome_<>Bacillus_cereus_G9842_chromosome_<>Bacillus_cereus_03BB102_chromosome_<>Bacillus_anthracis_str._CDC_684_chromosome_<>Bacillus_anthracis_str._A0248_chromosome_<>Streptococcus_mitis_B6_chromosome_<>Bacillus_cereus_biovar_anthracis_str._CI_chromosome_<>Methanotorris_igneus_Kol_5_chromosome_<>Cyclobacterium_marinum_DSM_745_chromosome_	-	-	2		Candidate_359_NC_003210(para),Candidate_360_NC_003210(para)	-	-	-	-
Candidate_159_NC_003210	|	lmo0333		hypothetical_protein                            	*	>>>	23	|	366296	366379	>>>	83	|	128	>>>	lmo0334	hypothetical_protein                           	*	candidate	215	0.0044	T	2	Staphylothermus_marinus_F1_chromosome_<>Natranaerobius_thermophilus_JW/NM-WN-LF_chromosome_	-	NC_002745_Lysine1(+)_+_(hom|rev)	0	-	-	-	-	-	-
Candidate_160_NC_003210	|	lmo0340		hypothetical_protein                            	*	>>>	19	|	370654	370754	>>>	100	|	-23	<<<	lmo0341	hypothetical_protein                           	*	candidate	386	1.1e-10	T	1	Listeria_innocua_Clip11262_chromosome_	-	-	0	-	-	-	-	-	-
Candidate_161_NC_003210	|	lmo0352		hypothetical_protein                            	*	>>>	1	|	379730	379802	>>>	72	|	-9	>>>	lmo0353	hypothetical_protein                           	*	candidate	227	0.002	T	1	Listeria_innocua_Clip11262_chromosome_	-	-	0	-	-	-	5	-	-
Candidate_162_NC_003210	|	lmo0355		fumarate_reductase_flavoprotein_subunit         	*	>>>	35	|	383572	383653	>>>	81	|	56	>>>	lmo0356	hypothetical_protein                           	*	candidate	344	4.2e-09	T	3	Listeria_innocua_Clip11262_chromosome_<>Listeria_welshimeri_serovar_6b_str._SLCC5334_chromosome_<>Alkaliphilus_oremlandii_OhILAs_chromosome_	RNA	-	0	-	-	-	5	-	-
Candidate_163_NC_003210	|	lmo0359		hypothetical_protein                            	*	>>>	1	|	387642	387715	>>>	73	|	-19	>>>	lmo0360	hypothetical_protein                           	*	candidate	238	0.00071	T	2	Listeria_innocua_Clip11262_chromosome_<>Listeria_welshimeri_serovar_6b_str._SLCC5334_chromosome_	-	-	0	-	-	-	5	-	-
Candidate_164_NC_003210	|	lmo0360		hypothetical_protein                            	*	>>>	113	|	388581	388815	>>>	234	|	-9	<<<	lmo0361	hypothetical_protein                           	*	candidate	220	0.0023	T	21	Clostridium_acetobutylicum_ATCC_824_chromosome_<>Bacteroides_thetaiotaomicron_VPI-5482_chromosome_<>Photorhabdus_luminescens_subsp._laumondii_TTO1_chromosome_<>Bacillus_cereus_E33L_plasmid_pE33L466<>Psychrobacter_arcticus_273-4_chromosome_<>Staphylococcus_saprophyticus_subsp._saprophyticus_ATCC_15305_chromosome_<>Methanosarcina_barkeri_str._Fusaro_chromosome_<>Methanococcus_aeolicus_Nankai-3_chromosome_<>Clostridium_phytofermentans_ISDg_chromosome_<>Proteus_mirabilis_HI4320_chromosome_<>Clostridium_botulinum_B_str._Eklund_17B_chromosome_<>Borrelia_duttonii_Ly_plasmid_pl41<>Ureaplasma_urealyticum_serovar_10_str._ATCC_33699_chromosome_<>Bacillus_anthracis_str._A0248_plasmid_pXO1<>Bartonella_grahamii_as4aup_chromosome_<>cyanobacterium_UCYN-A_chromosome_<>Staphylococcus_pseudintermedius_HKU10-03_chromosome_<>Lactobacillus_amylovorus_GRL_1112_plasmid_plasmid2<>Methanotorris_igneus_Kol_5_chromosome_<>Zymomonas_mobilis_subsp._pomaceae_ATCC_29192_chromosome_<>Cyclobacterium_marinum_DSM_745_chromosome_	-	-	0	-	-	-	-	-	-B.subtilis_sigA_1(9.53|-115)
Candidate_165_NC_003210	|	lmo0386		hypothetical_protein                            	*	>>>	1	|	411862	411935	>>>	73	|	56	>>>	lmo0387	hypothetical_protein                           	*	candidate	445	1.4e-13	T	1	Listeria_innocua_Clip11262_chromosome_	RNA	-	0	-	-	-	5	-	-
Candidate_166_NC_003210	|	lmo0397		hypothetical_protein                            	*	>>>	11	|	419385	419461	>>>	76	|	82	>>>	lmo0398	hypothetical_protein                           	*	candidate	659	2.3e-23	T	2	Listeria_innocua_Clip11262_chromosome_<>Listeria_welshimeri_serovar_6b_str._SLCC5334_chromosome_	RNA	-	0	-	-	-	-	-	-
Candidate_167_NC_003210	|	lmo0404		hypothetical_protein                            	*	>>>	13	|	427009	427072	>>>	63	|	31	>>>	lmo0405	hypothetical_protein                           	*	candidate	272	1.1e-05	T	4	Listeria_innocua_Clip11262_chromosome_<>Listeria_welshimeri_serovar_6b_str._SLCC5334_chromosome_<>Listeria_seeligeri_serovar_1/2b_str._SLCC3954_chromosome_<>Listeria_ivanovii_subsp._ivanovii_PAM_55_chromosome_	RNA	-	0	-	-	-	5	-	-
Candidate_168_NC_003210	|	lmo0414		hypothetical_protein                            	*	>>>	28	|	437217	437381	>>>	164	|	100	>>>	lmo0415	hypothetical_protein                           	*	candidate	500	3.3e-32	T	4	Listeria_innocua_Clip11262_chromosome_<>Listeria_welshimeri_serovar_6b_str._SLCC5334_chromosome_<>Listeria_seeligeri_serovar_1/2b_str._SLCC3954_chromosome_<>Listeria_ivanovii_subsp._ivanovii_PAM_55_chromosome_	RNA	-	0	-	-	-	-	-	-
Candidate_169_NC_003210	|	lmo0415		hypothetical_protein                            	*	>>>	1	|	438884	438955	>>>	71	|	53	>>>	lmo0416	hypothetical_protein                           	*	candidate	227	0.001	T	1	Listeria_welshimeri_serovar_6b_str._SLCC5334_chromosome_	-	NC_002505_B2(-)_-_(hom|rev)	0	-	-	-	5	-	-
Candidate_170_NC_003210	|	lmo0432		hypothetical_protein                            	*	>>>	13	|	453867	453926	>>>	59	|	607	>>>	lmo0433	internalin_A                                   	*	candidate	515	2.4e-17	T	1	Listeria_ivanovii_subsp._ivanovii_PAM_55_chromosome_	-	-	0	-	-	-	-	-	-
Candidate_171_NC_003210	|	lmo0435		peptidoglycan_binding_protein                   	*	>>>	22	|	465745	465812	>>>	67	|	121	<<<	lmo0436	hypothetical_protein                           	*	candidate	191	3.7e-13	T	3	Listeria_innocua_Clip11262_chromosome_<>Listeria_welshimeri_serovar_6b_str._SLCC5334_chromosome_<>Listeria_ivanovii_subsp._ivanovii_PAM_55_chromosome_	-	-	0		Candidate_172_NC_003210(anti)	-	-	-	-
Candidate_172_NC_003210	|	lmo0435		peptidoglycan_binding_protein                   	*	>>>	27	|	465750	465793	<<<	43	|	140	<<<	lmo0436	hypothetical_protein                           	*	candidate	191	3.7e-13	T	4	Listeria_welshimeri_serovar_6b_str._SLCC5334_chromosome_<>Streptococcus_pneumoniae_CGSP14_chromosome_<>Listeria_ivanovii_subsp._ivanovii_PAM_55_chromosome_<>Listeria_ivanovii_subsp._ivanovii_PAM_55_chromosome_	-	-	0		Candidate_171_NC_003210(anti)	-	-	-	-
Candidate_173_NC_003210	|	lmo0442		hypothetical_protein                            	*	>>>	11	|	472656	472716	>>>	60	|	64	>>>	lmo0443	hypothetical_protein                           	*	candidate	449	8.8e-14	T	4	Listeria_innocua_Clip11262_chromosome_<>Listeria_welshimeri_serovar_6b_str._SLCC5334_chromosome_<>Listeria_seeligeri_serovar_1/2b_str._SLCC3954_chromosome_<>Listeria_ivanovii_subsp._ivanovii_PAM_55_chromosome_	RNA	-	0	-	-	-	5	-	-
Candidate_174_NC_003210	|	lmo0444		hypothetical_protein                            	*	>>>	14	|	476731	476789	>>>	58	|	170	>>>	lmo0445	hypothetical_protein                           	*	candidate	243	7.3e-05	T	7	Clostridium_kluyveri_DSM_555_chromosome_<>Prochlorococcus_marinus_str._MIT_9215_chromosome_<>Lysinibacillus_sphaericus_C3-41_chromosome_<>Bacillus_cereus_G9842_chromosome_<>Bacillus_thuringiensis_BMB171_chromosome_<>Xenorhabdus_nematophila_ATCC_19061_chromosome_<>Weissella_koreensis_KACC_15510_chromosome_	-	-	0	-	-	-	-	-	-
Candidate_175_NC_003210	|	lmo0448		hypothetical_protein                            	*	>>>	176	|	482878	482980	>>>	102	|	185	>>>	lmo0449	hypothetical_protein                           	*	candidate	210	0.0034	T	15	Staphylococcus_aureus_subsp._aureus_N315_chromosome_<>Staphylococcus_aureus_subsp._aureus_Mu50_chromosome_<>Staphylococcus_aureus_subsp._aureus_COL_chromosome_<>Staphylococcus_aureus_subsp._aureus_MSSA476_chromosome_<>Staphylococcus_aureus_subsp._aureus_MW2_chromosome_<>Staphylococcus_aureus_subsp._aureus_USA300_FPR3757_chromosome_<>Staphylococcus_aureus_subsp._aureus_NCTC_8325_chromosome_<>Staphylococcus_aureus_subsp._aureus_JH9_chromosome_<>Staphylococcus_aureus_subsp._aureus_JH1_chromosome_<>Staphylococcus_aureus_subsp._aureus_str._Newman_chromosome_<>Staphylococcus_aureus_subsp._aureus_Mu3_chromosome_<>Staphylococcus_aureus_subsp._aureus_USA300_TCH1516_chromosome_<>Staphylococcus_aureus_subsp._aureus_ED98_chromosome_<>Streptococcus_mutans_NN2025_chromosome_<>Mycoplasma_hyorhinis_HUB-1_chromosome_	RNA	-	0	-	-	-	-	-	-
Candidate_176_NC_003210	|	lmo0455		hypothetical_protein                            	*	>>>	1	|	491502	491584	>>>	82	|	49	>>>	lmo0456	hypothetical_protein                           	*	candidate	574	2e-19	T	3	Listeria_innocua_Clip11262_chromosome_<>Listeria_seeligeri_serovar_1/2b_str._SLCC3954_chromosome_<>Listeria_ivanovii_subsp._ivanovii_PAM_55_chromosome_	RNA	-	0	-	-	-	5	-	-
Candidate_177_NC_003210	|	lmo0458		hypothetical_protein                            	*	>>>	4	|	495566	495680	>>>	114	|	700	>>>	lmo0459	hypothetical_protein                           	*	candidate	368	2.1e-08	T	2	Listeria_innocua_Clip11262_chromosome_<>Listeria_welshimeri_serovar_6b_str._SLCC5334_chromosome_	RNA	-	0	-	-	-	-	-	-
Candidate_178_NC_003210	|	lmo0464		hypothetical_protein                            	*	>>>	52	|	502012	502054	>>>	42	|	369	<<<	lmo0465	hypothetical_protein                           	*	candidate	208	0.0043	T	2	Clostridium_lentocellum_DSM_5427_chromosome_<>Erysipelothrix_rhusiopathiae_str._Fujisawa_chromosome_	-	-	1		Candidate_11_NC_003210(tandem)	-	-	-	-
Candidate_180_NC_003210	|	lmo0470		hypothetical_protein                            	*	>>>	362	|	507360	507527	>>>	167	|	195	>>>	lmo0471	hypothetical_protein                           	*	candidate	233	0.0009	T	17	Staphylococcus_aureus_subsp._aureus_N315_chromosome_<>Staphylococcus_aureus_subsp._aureus_Mu50_chromosome_<>Staphylococcus_aureus_subsp._aureus_COL_chromosome_<>Staphylococcus_aureus_subsp._aureus_MRSA252_chromosome_<>Staphylococcus_aureus_subsp._aureus_MSSA476_chromosome_<>Listeria_innocua_Clip11262_chromosome_<>Listeria_innocua_Clip11262_plasmid_pLI100<>Staphylococcus_aureus_subsp._aureus_MW2_chromosome_<>Staphylococcus_aureus_subsp._aureus_USA300_FPR3757_chromosome_<>Staphylococcus_aureus_subsp._aureus_JH9_chromosome_<>Staphylococcus_aureus_subsp._aureus_JH1_chromosome_<>Staphylococcus_aureus_subsp._aureus_str._Newman_chromosome_<>Staphylococcus_aureus_subsp._aureus_Mu3_chromosome_<>Streptococcus_pneumoniae_P1031_chromosome_<>Staphylococcus_aureus_subsp._aureus_ED98_chromosome_<>Streptococcus_pneumoniae_670-6B_chromosome_<>Listeria_ivanovii_subsp._ivanovii_PAM_55_chromosome_	RNA	-	4		Candidate_179_NC_003210(tandem),Candidate_458_NC_003210(opp),Candidate_408_NC_003210(para),Candidate_450_NC_003210(para),Candidate_431_NC_003210(para)	-	-	-	-
Candidate_181_NC_003210	|	lmo0471		hypothetical_protein                            	*	>>>	88	|	508822	508894	>>>	72	|	505	>>>	lmo0472	hypothetical_protein                           	*	candidate	326	1.9e-06	B	10	Leptospira_interrogans_serovar_Lai_str._56601_chromosome_I<>Leptospira_interrogans_serovar_Copenhageni_str._Fiocruz_L1-130_chromosome_II<>Staphylococcus_aureus_subsp._aureus_USA300_FPR3757_chromosome_<>Listeria_welshimeri_serovar_6b_str._SLCC5334_chromosome_<>Francisella_tularensis_subsp._mediasiatica_FSC147_chromosome_<>Bartonella_grahamii_as4aup_chromosome_<>Clostridium_difficile_R20291_chromosome_<>Bacillus_thuringiensis_BMB171_chromosome_<>Methanothermobacter_marburgensis_str._Marburg_chromosome_<>Listeria_ivanovii_subsp._ivanovii_PAM_55_chromosome_	RNA	-	3		Candidate_183_NC_003210(tandem),Candidate_359_NC_003210(para),Candidate_360_NC_003210(para)	-	-	-	-
Candidate_182_NC_003210	|	lmo0471		hypothetical_protein                            	*	>>>	88	|	508822	508864	>>>	42	|	535	>>>	lmo0472	hypothetical_protein                           	*	candidate	326	1.9e-06	T	10	Leptospira_interrogans_serovar_Lai_str._56601_chromosome_I<>Leptospira_interrogans_serovar_Copenhageni_str._Fiocruz_L1-130_chromosome_II<>Staphylococcus_aureus_subsp._aureus_USA300_FPR3757_chromosome_<>Listeria_welshimeri_serovar_6b_str._SLCC5334_chromosome_<>Francisella_tularensis_subsp._mediasiatica_FSC147_chromosome_<>Bartonella_grahamii_as4aup_chromosome_<>Clostridium_difficile_R20291_chromosome_<>Bacillus_thuringiensis_BMB171_chromosome_<>Methanothermobacter_marburgensis_str._Marburg_chromosome_<>Listeria_ivanovii_subsp._ivanovii_PAM_55_chromosome_	RNA	-	3		Candidate_183_NC_003210(tandem),Candidate_359_NC_003210(para),Candidate_360_NC_003210(para)	-	-	-	-
Candidate_183_NC_003210	|	lmo0471		hypothetical_protein                            	*	>>>	154	|	508888	508920	>>>	32	|	479	>>>	lmo0472	hypothetical_protein                           	*	candidate	286	0.00033	T	11	Leptospira_interrogans_serovar_Lai_str._56601_chromosome_I<>Leptospira_interrogans_serovar_Copenhageni_str._Fiocruz_L1-130_chromosome_II<>Staphylococcus_aureus_subsp._aureus_USA300_FPR3757_chromosome_<>Listeria_welshimeri_serovar_6b_str._SLCC5334_chromosome_<>Francisella_tularensis_subsp._mediasiatica_FSC147_chromosome_<>Bartonella_grahamii_as4aup_chromosome_<>Photorhabdus_asymbiotica_subsp._asymbiotica_ATCC_43949_chromosome_<>Clostridium_difficile_R20291_chromosome_<>Bacillus_thuringiensis_BMB171_chromosome_<>Methanothermobacter_marburgensis_str._Marburg_chromosome_<>Listeria_ivanovii_subsp._ivanovii_PAM_55_chromosome_	RNA	NC_003210_rliA(+)_+_	3		Candidate_181_NC_003210(tandem),Candidate_359_NC_003210(para),Candidate_360_NC_003210(para)	-	-	-	-
Candidate_184_NC_003210	|	lmo0478		putative_secreted_protein                       	*	>>>	63	|	515122	515193	>>>	71	|	197	>>>	lmo0479	putative_secreted_protein                      	*	candidate	215	0.0041	T	4	Colwellia_psychrerythraea_34H_chromosome_<>Leptospira_interrogans_serovar_Lai_str._56601_chromosome_I<>Bacillus_cereus_E33L_plasmid_pE33L5<>Cyclobacterium_marinum_DSM_745_chromosome_	-	-	0	-	-	-	-	-	-
Candidate_185_NC_003210	|	lmo0479		putative_secreted_protein                       	*	>>>	1	|	515752	515825	>>>	73	|	250	>>>	lmo0480	hypothetical_protein                           	*	candidate	1463	5.8e-60	T	1	Listeria_innocua_Clip11262_chromosome_	RNA	-	0	-	-	-	-	-	-
Candidate_186_NC_003210	|	lmo0482		ribosomal_RNA_large_subunit_methyltransferase_N  	*	>>>	2	|	519703	519773	>>>	70	|	15	>>>	lmo0483	hypothetical_protein                           	*	candidate	408	9.6e-12	T	4	Listeria_innocua_Clip11262_chromosome_<>Listeria_welshimeri_serovar_6b_str._SLCC5334_chromosome_<>Listeria_seeligeri_serovar_1/2b_str._SLCC3954_chromosome_<>Listeria_ivanovii_subsp._ivanovii_PAM_55_chromosome_	-	-	0	-	-	-	5	-	-
Candidate_187_NC_003210	|	lmo0483		hypothetical_protein                            	*	>>>	2	|	520271	520344	>>>	73	|	81	>>>	lmo0484	heme-degrading_monooxygenase_IsdG              	*	candidate	362	6.5e-10	T	3	Listeria_welshimeri_serovar_6b_str._SLCC5334_chromosome_<>Listeria_seeligeri_serovar_1/2b_str._SLCC3954_chromosome_<>Listeria_ivanovii_subsp._ivanovii_PAM_55_chromosome_	RNA	-	0	-	-	-	-	-	-
Candidate_188_NC_003210	|	lmo0484		heme-degrading_monooxygenase_IsdG               	*	>>>	1	|	520793	520860	>>>	67	|	100	>>>	lmo0485	hypothetical_protein                           	*	candidate	234	0.00047	T	2	Listeria_innocua_Clip11262_chromosome_<>Listeria_welshimeri_serovar_6b_str._SLCC5334_chromosome_	RNA	-	0	-	-	-	-	-	-
Candidate_189_NC_003210	|	lmo0489		hypothetical_protein                            	*	>>>	2	|	525716	525792	>>>	76	|	20	>>>	lmo0490	shikimate_5-dehydrogenase                      	*	candidate	418	3e-12	T	4	Listeria_innocua_Clip11262_chromosome_<>Listeria_welshimeri_serovar_6b_str._SLCC5334_chromosome_<>Listeria_seeligeri_serovar_1/2b_str._SLCC3954_chromosome_<>Listeria_ivanovii_subsp._ivanovii_PAM_55_chromosome_	-	-	0	-	-	-	5	-	-
Candidate_190_NC_003210	|	lmo0494		hypothetical_protein                            	*	>>>	3	|	531112	531297	>>>	185	|	-4	>>>	lmo0495	hypothetical_protein                           	*	candidate	739	3.7e-27	T	4	Listeria_innocua_Clip11262_chromosome_<>Listeria_welshimeri_serovar_6b_str._SLCC5334_chromosome_<>Listeria_seeligeri_serovar_1/2b_str._SLCC3954_chromosome_<>Listeria_ivanovii_subsp._ivanovii_PAM_55_chromosome_	-	-	0	-	-	-	5	-	-B.subtilis_sigA_2(9.10|-156)
Candidate_191_NC_003210	|	lmo0508		hypothetical_protein                            	*	>>>	38	|	543101	543135	>>>	34	|	66	>>>	lmo0509	hypothetical_protein                           	*	candidate	372	2.5e-10	T	3	Listeria_innocua_Clip11262_chromosome_<>Listeria_welshimeri_serovar_6b_str._SLCC5334_chromosome_<>Listeria_ivanovii_subsp._ivanovii_PAM_55_chromosome_	RNA	-	0	-	-	-	5	-	-
Candidate_192_NC_003210	|	lmo0509		hypothetical_protein                            	*	>>>	12	|	544150	544201	>>>	51	|	721	>>>	lmo0510	hypothetical_protein                           	*	candidate	251	0.0033	B	2	Listeria_innocua_Clip11262_chromosome_<>Listeria_seeligeri_serovar_1/2b_str._SLCC3954_chromosome_	RNA	NC_003210_rliB(+)_+_	1		Candidate_86_NC_003210(opp)	-	-	-	-
Candidate_193_NC_003210	|	lmo0517		hypothetical_protein                            	*	<<<	33	|	552316	552458	<<<	142	|	104	<<<	lmo0518	hypothetical_protein                           	*	candidate	628	8.2e-22	T	4	Listeria_innocua_Clip11262_chromosome_<>Listeria_welshimeri_serovar_6b_str._SLCC5334_chromosome_<>Listeria_seeligeri_serovar_1/2b_str._SLCC3954_chromosome_<>Listeria_ivanovii_subsp._ivanovii_PAM_55_chromosome_	RNA	-	0	-	-	-	-	-	-B.subtilis_sigA_2(9.99|-108)
Candidate_194_NC_003210	|	lmo0546		hypothetical_protein                            	*	<<<	160	|	584918	584975	<<<	57	|	39	<<<	lmo0547	hypothetical_protein                           	*	candidate	222	0.0014	T	8	Listeria_innocua_Clip11262_chromosome_<>Leptospira_interrogans_serovar_Copenhageni_str._Fiocruz_L1-130_chromosome_I<>Listeria_welshimeri_serovar_6b_str._SLCC5334_chromosome_<>Clostridium_difficile_630_chromosome_<>Methanococcus_vannielii_SB_chromosome_<>Clostridium_difficile_CD196_chromosome_<>Clostridium_difficile_R20291_chromosome_<>Listeria_ivanovii_subsp._ivanovii_PAM_55_chromosome_	RNA	NC_002745_T1box7(-)_-_(hom|rev)	3		Candidate_195_NC_003210(tandem),Candidate_242_NC_003210(para),Candidate_243_NC_003210(para)	-	-	-	-
Candidate_195_NC_003210	|	lmo0546		hypothetical_protein                            	*	<<<	190	|	584948	585011	<<<	63	|	3	<<<	lmo0547	hypothetical_protein                           	*	candidate	825	4.8e-31	T	7	Listeria_innocua_Clip11262_chromosome_<>Listeria_welshimeri_serovar_6b_str._SLCC5334_chromosome_<>Clostridium_difficile_630_chromosome_<>Methanococcus_vannielii_SB_chromosome_<>Clostridium_difficile_CD196_chromosome_<>Clostridium_difficile_R20291_chromosome_<>Listeria_ivanovii_subsp._ivanovii_PAM_55_chromosome_	RNA	-	3		Candidate_194_NC_003210(tandem),Candidate_242_NC_003210(para),Candidate_243_NC_003210(para)	-	3	-	-
Candidate_196_NC_003210	|	lmo0555		hypothetical_protein                            	*	>>>	1	|	595008	595075	>>>	67	|	59	>>>	lmo0556	hypothetical_protein                           	*	candidate	513	1.2e-16	T	1	Listeria_innocua_Clip11262_chromosome_	-	-	0	-	-	-	5	-	-
Candidate_197_NC_003210	|	lmo0575		hypothetical_protein                            	*	>>>	30	|	613437	613495	>>>	58	|	340	>>>	lmo0576	hypothetical_protein                           	*	candidate	318	1.8e-08	T	7	Listeria_innocua_Clip11262_chromosome_<>Bacillus_cereus_ATCC_14579_chromosome_<>Bacillus_thuringiensis_serovar_konkukian_str._97-27_chromosome_<>Trichodesmium_erythraeum_IMS101_chromosome_<>Petrotoga_mobilis_SJ95_chromosome_<>Anaerococcus_prevotii_DSM_20548_chromosome_<>Spirochaeta_smaragdinae_DSM_11293_chromosome_	RNA	-	0	-	-	-	-	-	-
Candidate_198_NC_003210	|	lmo0576		hypothetical_protein                            	*	>>>	1	|	615301	615374	>>>	73	|	-22	<<<	lmo0577	hypothetical_protein                           	*	candidate	222	0.004	B	1	Listeria_innocua_Clip11262_chromosome_	-	-	0	-	-	-	-	-	-
Candidate_199_NC_003210	|	lmo0584		hypothetical_protein                            	*	>>>	13	|	624437	624509	>>>	72	|	172	>>>	lmo0585	putative_secreted_protein                      	*	candidate	241	0.00035	T	4	Listeria_innocua_Clip11262_chromosome_<>Photorhabdus_luminescens_subsp._laumondii_TTO1_chromosome_<>Trichodesmium_erythraeum_IMS101_chromosome_<>Clostridium_botulinum_BKT015925_plasmid_p5BKT015925	RNA	NC_002745_THI1(-)_-_(hom)	0	-	-	-	-	-	-
Candidate_200_NC_003210	|	lmo0592		hypothetical_protein                            	*	>>>	10	|	634262	634316	>>>	54	|	162	>>>	lmo0593	hypothetical_protein                           	*	candidate	909	8.9e-35	T	4	Listeria_innocua_Clip11262_chromosome_<>Listeria_welshimeri_serovar_6b_str._SLCC5334_chromosome_<>Listeria_seeligeri_serovar_1/2b_str._SLCC3954_chromosome_<>Listeria_ivanovii_subsp._ivanovii_PAM_55_chromosome_	RNA	-	0	-	-	-	-	-	-
Candidate_201_NC_003210	|	lmo0608		hypothetical_protein                            	*	>>>	7	|	649412	649472	>>>	60	|	47	>>>	lmo0609	hypothetical_protein                           	*	candidate	337	1.2e-08	T	4	Listeria_innocua_Clip11262_chromosome_<>Listeria_welshimeri_serovar_6b_str._SLCC5334_chromosome_<>Listeria_seeligeri_serovar_1/2b_str._SLCC3954_chromosome_<>Listeria_ivanovii_subsp._ivanovii_PAM_55_chromosome_	-	-	0	-	-	-	5	-	-
Candidate_202_NC_003210	|	lmo0629		hypothetical_protein                            	*	>>>	2	|	669953	670026	>>>	73	|	282	>>>	lmo0630	hypothetical_protein                           	*	candidate	629	2.1e-22	T	2	Methanosarcina_barkeri_str._Fusaro_chromosome_<>Listeria_ivanovii_subsp._ivanovii_PAM_55_chromosome_	-	-	1		Candidate_14_NC_003210(tandem),Candidate_84_NC_003210(opp),Candidate_203_NC_003210(tandem)	-	-	-	-
Candidate_203_NC_003210	|	lmo0629		hypothetical_protein                            	*	>>>	59	|	670010	670093	>>>	83	|	215	>>>	lmo0630	hypothetical_protein                           	*	candidate	247	0.00018	T	3	Methanosarcina_barkeri_str._Fusaro_chromosome_<>Thermosipho_africanus_TCF52B_chromosome_<>Listeria_ivanovii_subsp._ivanovii_PAM_55_chromosome_	-	-	0		Candidate_84_NC_003210(anti),Candidate_202_NC_003210(tandem)	-	-	-	-
Candidate_204_NC_003210	|	lmo0638		hypothetical_protein                            	*	>>>	291	|	679415	679483	>>>	68	|	279	>>>	lmo0639	hypothetical_protein                           	*	candidate	227	0.0014	T	18	Staphylococcus_epidermidis_RP62A_chromosome_<>Listeria_innocua_Clip11262_chromosome_<>Ehrlichia_chaffeensis_str._Arkansas_chromosome_<>Trichodesmium_erythraeum_IMS101_chromosome_<>Leuconostoc_mesenteroides_subsp._mesenteroides_ATCC_8293_chromosome_<>Francisella_tularensis_subsp._tularensis_WY96-3418_chromosome_<>Clostridium_kluyveri_DSM_555_chromosome_<>Campylobacter_hominis_ATCC_BAA-381_chromosome_<>Thermoanaerobacter_pseudethanolicus_ATCC_33223_chromosome_<>Orientia_tsutsugamushi_str._Ikeda_chromosome_<>Sulfolobus_islandicus_M.16.4_chromosome_<>Clostridium_difficile_CD196_chromosome_<>Clostridium_difficile_R20291_chromosome_<>cyanobacterium_UCYN-A_chromosome_<>Moraxella_catarrhalis_RH4_chromosome_<>Clostridium_cellulovorans_743B_chromosome_<>Weissella_koreensis_KACC_15510_chromosome_<>Rickettsia_japonica_YH_chromosome_	-	-	0	-	-	-	-	-	-
